                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.68945,                0.42302,                0.88802,                0.93564,                0.91722,                0.95505,                0.81093,                0.71396,                0.42815,                 0.9424,               0.005248,               0.005248,               0.005248
                     50,                0.68044,                0.41103,                0.89377,                0.94186,                0.95286,                0.96484,                0.81907,                0.70623,                0.42177,                0.94348,               0.005149,               0.005149,               0.005149
                     51,                0.69727,                0.40934,                0.89527,                0.90777,                0.95443,                0.96447,                0.80534,                0.71153,                0.40533,                0.94624,                0.00505,                0.00505,                0.00505
                     52,                0.67555,                0.40033,                   0.89,                0.94799,                0.97815,                0.97885,                0.83232,                0.70988,                0.39181,                0.94557,               0.004951,               0.004951,               0.004951
                     53,                0.66294,                0.40124,                0.88674,                0.97482,                0.96926,                0.98826,                 0.8442,                0.70571,                0.39314,                0.93893,               0.004852,               0.004852,               0.004852
                     54,                0.66465,                0.40837,                0.87693,                0.97481,                0.93554,                 0.9835,                0.82822,                0.71126,                0.40189,                0.94228,               0.004753,               0.004753,               0.004753
                     55,                0.66562,                 0.3991,                0.88923,                0.94568,                0.96472,                0.97705,                0.83376,                0.69312,                0.37736,                0.94036,               0.004654,               0.004654,               0.004654
                     56,                0.63733,                0.38613,                0.87706,                0.92185,                0.97291,                0.98017,                0.85078,                0.67887,                 0.3925,                0.93636,               0.004555,               0.004555,               0.004555
                     57,                 0.6449,                0.40503,                0.87859,                0.89508,                0.98421,                 0.9716,                0.85813,                0.67451,                0.39477,                0.93146,               0.004456,               0.004456,               0.004456
                     58,                0.66006,                0.39217,                0.88548,                0.90693,                0.95371,                0.96325,                0.81696,                0.71242,                0.41332,                0.94475,               0.004357,               0.004357,               0.004357
                     59,                0.64264,                0.38588,                0.88502,                0.91283,                0.97304,                0.97047,                0.80969,                0.70798,                0.40713,                0.95077,               0.004258,               0.004258,               0.004258
                     60,                0.63297,                0.38166,                0.87584,                0.92758,                0.89049,                0.95085,                0.80087,                0.67259,                0.39935,                0.94284,               0.004159,               0.004159,               0.004159
                     61,                 0.6226,                 0.3876,                0.88027,                0.96849,                0.86626,                0.92547,                0.78015,                0.68288,                0.40695,                0.94812,                0.00406,                0.00406,                0.00406
                     62,                0.61528,                 0.3737,                0.87294,                0.92788,                0.92211,                0.95536,                0.80425,                0.67614,                0.39022,                0.94131,               0.003961,               0.003961,               0.003961
                     63,                 0.6201,                0.38321,                0.87451,                 0.9318,                0.91998,                0.96401,                0.80083,                 0.6939,                 0.4039,                0.94212,               0.003862,               0.003862,               0.003862
                     64,                 0.6151,                0.37174,                0.87225,                0.94099,                0.98772,                0.98051,                 0.8192,                0.67662,                0.37823,                0.93648,               0.003763,               0.003763,               0.003763
                     65,                0.60915,                0.37084,                 0.8735,                 0.9466,                0.95489,                0.98082,                0.83842,                0.67944,                0.37638,                0.93258,               0.003664,               0.003664,               0.003664
                     66,                 0.6178,                0.37486,                0.86781,                0.94147,                 0.9806,                0.98647,                0.83905,                0.68441,                0.36998,                0.93719,               0.003565,               0.003565,               0.003565
                     67,                0.60642,                0.35962,                0.86694,                0.94933,                0.94519,                0.98207,                0.85854,                0.68509,                0.36706,                0.93749,               0.003466,               0.003466,               0.003466
                     68,                0.58584,                0.35686,                0.85451,                0.91272,                0.98474,                0.97938,                0.86687,                0.67539,                0.37539,                0.93936,               0.003367,               0.003367,               0.003367
                     69,                0.57631,                0.34626,                0.86707,                0.92251,                0.97401,                0.97792,                0.86602,                0.66859,                0.37409,                0.93378,               0.003268,               0.003268,               0.003268
                     70,                0.57727,                0.34912,                0.85796,                0.88673,                0.98602,                0.98031,                0.85562,                0.66642,                0.36925,                0.93035,               0.003169,               0.003169,               0.003169
                     71,                0.58737,                 0.3441,                0.85712,                0.94743,                0.98926,                0.98823,                0.86863,                  0.654,                0.35472,                0.92687,                0.00307,                0.00307,                0.00307
                     72,                0.58646,                0.34927,                0.86458,                 0.9461,                0.99041,                0.98885,                0.86763,                0.66818,                0.35895,                0.93329,               0.002971,               0.002971,               0.002971
                     73,                0.56882,                0.34177,                0.85898,                0.97834,                0.95593,                0.98881,                0.85704,                0.66977,                0.37349,                0.92833,               0.002872,               0.002872,               0.002872
                     74,                0.58263,                0.34521,                0.85825,                0.96007,                0.98679,                0.99065,                0.86041,                0.67142,                0.37142,                0.93256,               0.002773,               0.002773,               0.002773
                     75,                0.57253,                0.33506,                0.86184,                0.93089,                0.98463,                0.98584,                 0.8485,                0.66295,                0.35647,                0.92764,               0.002674,               0.002674,               0.002674
                     76,                0.57825,                0.34347,                 0.8607,                 0.9368,                0.92106,                0.97636,                0.81059,                0.67757,                0.36871,                0.93842,               0.002575,               0.002575,               0.002575
                     77,                0.55543,                0.32524,                0.85549,                0.93097,                0.92161,                0.97654,                0.82989,                0.66529,                0.36593,                0.93964,               0.002476,               0.002476,               0.002476
                     78,                0.54846,                0.33275,                0.85233,                0.96733,                  0.918,                0.97981,                 0.8455,                0.66845,                0.36224,                0.94042,               0.002377,               0.002377,               0.002377
                     79,                0.55578,                0.33916,                0.85693,                0.95215,                0.92004,                0.97282,                0.83708,                 0.6606,                0.37482,                0.93868,               0.002278,               0.002278,               0.002278
                     80,                0.54409,                 0.3293,                0.85714,                0.96061,                0.95362,                0.97894,                0.85071,                0.65895,                0.36561,                0.93447,               0.002179,               0.002179,               0.002179
                     81,                0.54558,                0.32867,                0.85807,                0.94252,                0.95137,                0.97617,                0.85941,                 0.6485,                 0.3558,                0.92937,                0.00208,                0.00208,                0.00208
                     82,                0.55204,                 0.3327,                0.85521,                0.93287,                 0.9534,                0.98076,                0.85392,                0.66748,                0.36596,                0.93636,               0.001981,               0.001981,               0.001981
                     83,                0.55385,                0.32716,                0.86239,                0.93522,                0.98824,                0.98565,                0.86221,                0.65686,                0.34942,                0.93036,               0.001882,               0.001882,               0.001882
                     84,                0.54152,                0.32367,                0.84979,                0.97885,                0.97654,                0.99019,                0.87359,                0.64316,                0.33895,                0.92593,               0.001783,               0.001783,               0.001783
                     85,                0.54216,                0.32343,                0.85185,                0.98011,                0.98082,                0.99061,                0.85097,                0.64041,                 0.3365,                0.92354,               0.001684,               0.001684,               0.001684
                     86,                0.52754,                0.31327,                0.84525,                0.97549,                0.98773,                0.99161,                0.83756,                0.64355,                0.33915,                0.92524,               0.001585,               0.001585,               0.001585
                     87,                 0.5299,                0.31034,                0.84887,                0.98173,                0.94519,                0.98974,                0.87513,                 0.6494,                0.34092,                0.92062,               0.001486,               0.001486,               0.001486
                     88,                0.51993,                0.30743,                0.84606,                0.98389,                0.94395,                0.98927,                0.88308,                 0.6548,                0.34598,                0.92301,               0.001387,               0.001387,               0.001387
                     89,                0.52297,                0.30717,                0.84443,                0.97716,                0.94673,                 0.9879,                0.87823,                0.64012,                0.34032,                0.92113,               0.001288,               0.001288,               0.001288
                     90,                0.46552,                0.26154,                0.82668,                0.93923,                0.98703,                0.98946,                0.88323,                0.63278,                0.33608,                0.92055,               0.001189,               0.001189,               0.001189
                     91,                0.45201,                0.25572,                0.82078,                0.97946,                0.98531,                0.99185,                0.87409,                  0.635,                0.32747,                0.92061,                0.00109,                0.00109,                0.00109
                     92,                0.45668,                0.25362,                0.81874,                0.98339,                0.98284,                0.99141,                0.88258,                0.63642,                0.32371,                0.92057,               0.000991,               0.000991,               0.000991
                     93,                0.45173,                0.25624,                0.82325,                0.98026,                0.98313,                0.99114,                0.88038,                0.63678,                0.32689,                0.91855,               0.000892,               0.000892,               0.000892
                     94,                0.42924,                0.24759,                0.81027,                0.97826,                0.98006,                0.99108,                 0.8841,                0.63194,                0.32572,                0.91672,               0.000793,               0.000793,               0.000793
                     95,                0.43787,                0.24566,                0.81544,                0.97768,                0.98116,                0.99092,                0.87142,                0.62937,                0.33062,                0.91682,               0.000694,               0.000694,               0.000694
                     96,                0.42643,                0.24388,                0.81191,                0.93631,                0.98637,                0.98867,                 0.8566,                0.63153,                0.33006,                0.91731,               0.000595,               0.000595,               0.000595
                     97,                0.42444,                0.24322,                0.81477,                0.94231,                0.98926,                0.98754,                0.86628,                0.62214,                0.32655,                0.91425,               0.000496,               0.000496,               0.000496
                     98,                0.42778,                0.24308,                0.81576,                0.94093,                0.98926,                0.98987,                0.86699,                0.62037,                0.32891,                0.91487,               0.000397,               0.000397,               0.000397
                     99,                0.42692,                0.23947,                0.81586,                0.94407,                0.98926,                 0.9878,                 0.8652,                0.61774,                0.32854,                0.91441,               0.000298,               0.000298,               0.000298
